"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
35,200;0,514;24,10;0,09;0,26;28,15
35,300;0,253;24,07;0,06;0,06;28,21
35,400;0,323;24,06;0,05;0,10;28,32
35,500;0,350;24,05;0,04;0,12;28,44
35,600;0,526;24,06;0,05;0,28;28,72
35,700;0,290;24,07;0,06;0,08;28,80
35,800;0,355;24,05;0,04;0,13;28,93
35,900;0,371;24,05;0,04;0,14;29,06
36,000;0,567;24,05;0,04;0,32;29,39
36,100;0,275;24,04;0,03;0,08;29,46
36,200;0,318;24,04;0,03;0,10;29,56
36,300;0,352;24,06;0,05;0,12;29,69
36,400;0,546;24,05;0,04;0,30;29,99
36,500;0,302;24,07;0,06;0,09;30,08
36,600;0,349;24,05;0,04;0,12;30,20
36,700;0,368;24,07;0,06;0,14;30,33
36,800;0,519;24,07;0,06;0,27;30,60
36,900;0,253;24,05;0,04;0,06;30,67
37,000;0,304;24,06;0,05;0,09;30,76
37,100;0,308;24,05;0,04;0,09;30,86
37,200;0,529;24,07;0,06;0,28;31,13
37,300;0,289;24,07;0,06;0,08;31,22
37,400;0,333;24,07;0,06;0,11;31,33
37,500;0,343;24,07;0,06;0,12;31,45
37,600;0,520;24,07;0,06;0,27;31,72
37,700;0,283;24,05;0,04;0,08;31,80
37,800;0,328;24,06;0,05;0,11;31,90
37,900;0,399;24,07;0,06;0,16;32,06
38,000;0,525;24,06;0,05;0,28;32,34
38,100;0,211;24,06;0,05;0,04;32,38
38,200;0,374;24,06;0,05;0,14;32,52
38,300;0,340;24,05;0,04;0,12;32,64
38,400;0,487;24,06;0,05;0,24;32,88
38,500;0,335;24,09;0,08;0,11;32,99
38,600;0,322;24,04;0,03;0,10;33,09
38,700;0,355;24,07;0,06;0,13;33,22
38,800;0,486;24,07;0,06;0,24;33,45
38,900;0,378;24,06;0,05;0,14;33,60
39,000;0,308;24,09;0,08;0,09;33,69
39,100;0,370;24,06;0,05;0,14;33,83
39,200;0,509;24,05;0,04;0,26;34,09
39,300;0,338;24,06;0,05;0,11;34,20
39,400;0,365;24,06;0,05;0,13;34,34
39,500;0,404;24,06;0,05;0,16;34,50
39,600;0,530;24,07;0,06;0,28;34,78
39,700;0,266;24,09;0,08;0,07;34,85
39,800;0,389;24,09;0,08;0,15;35,00
39,900;0,393;24,07;0,06;0,15;35,16
40,000;0,514;24,07;0,06;0,26;35,42
40,100;0,261;24,09;0,08;0,07;35,49
40,200;0,391;24,06;0,05;0,15;35,64
40,300;0,400;24,07;0,06;0,16;35,80
40,400;0,507;24,06;0,05;0,26;36,06
40,500;0,225;24,06;0,05;0,05;36,11
40,600;0,385;24,10;0,09;0,15;36,26
40,700;0,307;24,05;0,04;0,09;36,35
40,800;0,485;24,07;0,06;0,23;36,59
40,900;0,177;24,09;0,08;0,03;36,62
41,000;0,404;24,07;0,06;0,16;36,78
41,100;0,324;24,07;0,06;0,10;36,89
41,200;0,464;24,06;0,05;0,22;37,10
41,300;0,358;24,06;0,05;0,13;37,23
41,400;0,296;24,07;0,06;0,09;37,32
41,500;0,376;24,06;0,05;0,14;37,46
41,600;0,445;24,10;0,09;0,20;37,66
41,700;0,414;24,07;0,06;0,17;37,83
41,800;0,308;24,07;0,06;0,10;37,92
41,900;0,332;24,07;0,06;0,11;38,03
42,000;0,400;24,09;0,08;0,16;38,19
42,100;0,450;24,06;0,05;0,20;38,40
42,200;0,324;24,06;0,05;0,11;38,50
42,300;0,230;24,07;0,06;0,05;38,56
42,400;0,174;24,09;0,08;0,03;38,59
42,500;0,275;24,06;0,05;0,08;38,66
42,600;0,379;24,07;0,06;0,14;38,80
42,700;0,332;24,07;0,06;0,11;38,92
42,800;0,328;24,06;0,05;0,11;39,02
42,900;0,336;24,06;0,05;0,11;39,14
43,000;0,450;24,09;0,08;0,20;39,34
43,100;0,409;24,07;0,06;0,17;39,51
43,200;0,283;24,10;0,09;0,08;39,59
43,300;0,346;24,07;0,06;0,12;39,71
43,400;0,451;24,09;0,08;0,20;39,91
43,500;0,425;24,07;0,06;0,18;40,09
43,600;0,300;24,07;0,06;0,09;40,18
43,700;0,327;24,07;0,06;0,11;40,29
43,800;0,408;24,07;0,06;0,17;40,45
43,900;0,435;24,06;0,05;0,19;40,64
44,000;0,346;24,06;0,05;0,12;40,76
